,name,symbol,marketcap,price,supply
114,Core,CORE,449849220.64,0.5233,859584024
115,Trust Wallet Token,TWT,442738882.40,1.0626,416649900
116,PAX Gold,PAXG,426619031.93,2015.51,211668
117,Enjin Coin,ENJ,420591654.10,0.3048,1379841766
118,Terra,LUNA,409006393.94,0.6632,616696357
119,Neutron,NTRN,401779258.57,1.4420,278632084
120,APENFT,NFT,400320109.04,0.0000004,990105682877398
121,Huobi Token,HT,399860688.58,2.4647,162233844
122,Compound,COMP,387305316.44,48.03,8063365
123,SKALE,SKL,382978277.83,0.07459,5134227671
124,Pyth Network,PYTH,381013184.31,0.254,1499989240
125,IoTeX,IOTX,379101851.84,0.04015,9441378955
126,aelf,ELF,377001773.56,0.5278,714324840
127,Pax Dollar,USDP,368899927.40,0.9949,370787665
128,Zilliqa,ZIL,368553153.35,0.02122,17372203179
129,Gas,GAS,360375079.65,5.4767,65801374
130,Zcash,ZEC,360138367.00,22.06,16328269
131,Ethereum Name Service,ENS,356991222.26,11.74,30415510
132,Celo,CELO,347939540.19,0.663,524760766
133,Decentralized Social,DESO,347990993.74,39.17,8884536
134,Basic Attention Token,BAT,343173066.15,0.2303,1490413701
135,MetisDAO,METIS,335898965.42,73.44,4573674
136,Holo,HOT,333197217.91,0.00193,172669503591
137,Chia,XCH,328591120.05,34.45,9538658
138,SingularityNET,AGIX,323107132.34,0.2585,1249851019
139,Loopring,LRC,321108774.38,0.235,1366630011
140,Mask Network,MASK,324701843.88,3.9544,82112500
141,Kusama,KSM,318984010.51,37.66,8470098
142,Tellor,TRB,316191810.35,124.29,2544027
143,Dash,DASH,315301670.73,27.14,11615969
144,Bitcoin Gold,BTG,315721596.26,18.03,17513924
145,ssv.network,SSV,308345040.53,30.83,10000000
146,Qtum,QTUM,311066833.30,2.9694,104755842
147,Centrifuge,CFG,311495981.47,0.6692,465441308
148,Moonbeam,GLMR,305345230.45,0.377,809877967
149,Illuvium,ILV,298754538.76,79.30,3767377
150,NEM,XEM,297703447.57,0.03308,8999999999
151,Pendle,PENDLE,296400976.64,1.2512,236885588
152,Raydium,RAY,293534675.78,1.1736,250124875
153,Worldcoin,WLD,288329293.59,2.6294,109656361
154,Theta Fuel,TFUEL,283472077.98,0.04424,6407293194
155,SafePal,SFP,281604376.89,0.6692,420833333
156,FLOKI,FLOKI,277324541.69,0.00002915,9514894602848
157,EthereumPoW,ETHW,274613511.12,2.5470,107818999
158,Convex Finance,CVX,275148132.01,2.9694,92659871
159,PayPal USD,PYUSD,273833348.90,0.999,274097477
160,Waves,WAVES,267179472.43,2.3543,113484790
161,MX TOKEN,MX,265939318.50,2.6427,100631536
162,0x Protocol,ZRX,261844608.64,0.309,847496055
163,Kadena,KDA,261005772.34,1.0075,259055811
164,JUST,JST,259527872.88,0.02915,8902080000
165,Threshold,T,255450005.11,0.02672,9558802677
166,Decred,DCR,247145653.44,15.68,15766457
167,SuperVerse,SUPER,249927117.52,0.5124,487776093
168,Ravencoin,RVN,249683436.71,0.01866,13382297454
169,JasmyCoin,JASMY,248476729.41,0.00504,49299999677
170,Powerledger,POWR,249236994.94,0.4873,511416428
171,yearn.finance,YFI,245362684.94,7382.86,33234
172,Treasure,MAGIC,242790809.24,0.9439,257228051
173,Aragon,ANT,242468291.88,5.6154,43179224
174,Ankr,ANKR,240866290.86,0.02409,10000000000
175,Band Protocol,BAND,237304386.58,1.7230,137724238
176,Ocean Protocol,OCEAN,236886103.61,0.4168,568381103
177,SushiSwap,SUSHI,236688253.35,1.0202,232006430
178,Helium Mobile,MOBILE,234057402.97,0.002918,80198774027
179,Storj,STORJ,231800029.11,0.5825,397963367
180,JOE,JOE,228148894.21,0.6064,376239758
181,Audius,AUDIO,226037023.36,0.1913,1181308120
182,ICON,ICX,225551178.50,0.2311,976142340
183,Golem,GLM,224922168.81,0.2249,1000000000
184,TerraClassicUSD,USTC,220896983.23,0.02462,8971786624
185,ConstitutionDAO,PEOPLE,212866262.24,0.04207,5060137335
186,Harmony,ONE,215016016.75,0.01565,13738601581
187,Echelon Prime,PRIME,214493705.45,8.1644,26271698
188,Ontology,ONT,205667237.29,0.235,875249524
189,Memecoin,MEME,204701849.27,0.02308,8867360382
190,Solar,SXP,204771015.43,0.347,590053021
191,Oasys,OAS,204392539.93,0.11,1858091009
192,Balancer,BAL,203997140.67,3.7617,54230039
193,Moonriver,MOVR,202640131.46,23.24,8718932
194,WAX,WAXP,202992003.43,0.05979,3395087253
195,Biconomy,BICO,196755352.11,0.3223,610473573
196,Livepeer,LPT,194717774.99,6.4176,30341285
197,Seedify.fund,SFUND,195830987.73,3.4026,57554151
198,DAO Maker,DAO,190610471.44,1.0954,174013950
199,Fusionist,ACE,184352244.44,8.3913,21969520
200,Lido Staked ETH,stETH,20510773202.36,2219.83,9239800
201,Wrapped TRON,WTRX,9097079938.50,0.103,88282922947
202,Wrapped Bitcoin,WBTC,6940864872.03,43854.89,158269
203,Wrapped EOS,WEOS,5372863552.35,4.8362,1110971419
204,Bitcoin Classic,BXC,2657576420.15,4428.21,600147
205,Wrapped HBAR,WHBAR,2535172024.42,0.07539,33627884869
206,Bitcoin BEP2,BTCB,2363185133.86,43831.06,53916
207,USDe,USDE,2006149104.53,1.0063,1993576188
208,Wrapped Beacon ETH,WBETH,1776720142.27,2278.47,779785
209,Rocket Pool ETH,RETH,1371111118.61,2438.73,562223
210,Bittensor,TAO,1316253531.62,219.39,5999532
211,Kujira,KUJI,526159508.79,4.3005,122349807
212,Cheelee,CHEEL,815386623.90,15.15,53837996
213,HEX,HEX,762664153.11,0.004398,173411074413
214,Frax,FRAX,647733833.63,0.9973,649462236
215,Wrapped BNB,WBNB,604521815.03,302.61,1997717
216,Venus BNB,vBNB,595472005.40,7.0615,84327095
217,TNC Coin,TNC,504512146.53,0.08622,5851183164
218,Fasttoken,FTN,459460777.65,1.5072,304850250
219,Coinbase Wrapped Staked ETH,CBETH,459291966.51,2347.26,195671
220,Radix,XRD,427577871.34,0.04134,10342632848
221,Rollbit Coin,RLB,419284225.51,0.1272,3296951621
222,Huobi BTC,HBTC,418552955.65,46664.04,8969
223,L7,LSD,401008242.32,9.7946,40941582
224,Wrapped Kava,WKAVA,387722449.60,0.7791,497668960
