name,symbol,marketcap,price,supply
Bitcoin,BTC,180784051698.60,10070.39,17952037
Ethereum,ETH,22815755536.13,211.55,107852768
XRP,XRP,12009356967.93,0.2789,43055012634
Bitcoin Cash,BCH,5554995552.26,308.30,18018038
Litecoin,LTC,4597645596.35,72.62,63314392
Tether,USDT,4118866620.59,1.0026,4108044456
EOS,EOS,3575680045.06,3.8331,932847190
Binance Coin,BNB,3192478009.93,20.53,155536713
Bitcoin SV,BSV,2141659237.66,119.95,17854986
Stellar,XLM,1384230931.64,0.06892,20084647943
Cardano,ADA,1273314002.43,0.04911,25927070538
Monero,XMR,1260457544.45,73.19,17222051
TRON,TRX,1128300529.76,0.01692,66682072191
UNUS SED LEO,LEO,1081340504.05,1.0819,999498893
Huobi Token,HT,988505341.23,4.0233,245696127
Dash,DASH,830609846.39,91.76,9052417
IOTA,MIOTA,776502877.31,0.2794,2779530283
Tezos,XTZ,696868197.84,1.0553,660373612
Ethereum Classic,ETC,685271740.78,6.0277,113686626
Neo,NEO,643616173.62,9.1243,70538831
Chainlink,LINK,637490132.50,1.8214,350000000
Cosmos,ATOM,555000112.54,2.9105,190688439
Maker,MKR,528596952.88,528.60,1000000
Ontology,ONT,426329370.02,0.799,533551170
Crypto.com Coin,CRO,404395730.42,0.03959,10214611872
NEM,XEM,398555726.03,0.04428,8999999999
USD Coin,USDC,392999540.70,1.0021,392163805
INO COIN,INO,371200558.95,2.0622,180003180
Zcash,ZEC,345749702.28,46.27,7472244
Dogecoin,DOGE,314478667.38,0.002592,121314616682
HedgeTrade,HEDG,261001040.56,0.905,288393855
Basic Attention Token,BAT,257030002.54,0.192,1338750672
Decred,DCR,231818976.25,22.24,10424904
Paxos Standard,PAX,228597861.46,1.0034,227813413
VeChain,VET,225199797.03,0.004061,55454734800
v.systems,VSYS,218884766.82,0.1209,1810460571
Qtum,QTUM,201786176.66,2.1011,96037240
ThoreNext,THX,197224849.45,9.1087,21652254
TrueUSD,TUSD,188059325.38,1.0042,187282038
Bitcoin Gold,BTG,177779430.21,10.15,17513924
ZB Token,ZB,163344487.93,0.3526,463288810
ThoreCoin,THR,163172000.39,1882.33,86686
MineBee,MB,157291908.16,0.08595,1830081855
OmiseGO,OMG,150801832.63,1.0753,140245398
Ravencoin,RVN,148181291.83,0.0331,4476670000
0x,ZRX,143208728.06,0.2384,600803124
KuCoin Shares,KCS,133100038.81,1.5130,87971055
ABBC Coin,ABBC,132754590.13,0.2395,554307762
EDUCare,EKT,131812299.66,0.1757,750000000
Karatgold Coin,KBC,126623991.12,0.03132,4042622937
Nano,NANO,120271241.09,0.9026,133248297
BitTorrent,BTT,117140106.39,0.0005522,212116500000
Augur,REP,116511629.08,10.59,11000000
Lisk,LSK,115142719.66,0.9565,120373765
Bitcoin Diamond,BCD,114161545.84,0.6121,186492898
Insight Chain,INB,112397842.49,0.3212,349902689
Algorand,ALGO,110742894.43,0.3011,367793990
Holo,HOT,110492188.13,0.0008294,133214575156
Waves,WAVES,109778858.55,1.0978,100000000
Clipper Coin,CCC,109524821.30,0.02897,3780570996
Quant,QNT,103432690.99,8.5675,12072738
ICON,ICX,100935727.25,0.2011,501838536
Silverway,SLV,99750759.20,0.9975,100000000
Oasis City,OSC,99396543.21,0.04681,2123537036
THETA,THETA,99310922.43,0.1141,870502690
DigiByte,DGB,96073665.54,0.007814,12294557006
Mixin,XIN,95734926.94,208.34,459521
HyperCash,HC,93404559.89,2.1079,44311561
BitShares,BTS,92141879.34,0.0336,2741930000
Bytecoin,BCN,90636195.19,0.0004924,184066828814
Lambda,LAMB,90627911.56,0.1446,626628716
Single Collateral DAI,SAI,87047538.65,1.0068,86456983
Siacoin,SC,82985329.33,0.001984,41817047634
MaidSafeCoin,MAID,82781913.90,0.1829,452552412
Pundi X,NPXS,81770747.43,0.0003471,235562285015
Maximine Coin,MXM,80839439.32,0.04902,1649000000
Bytom,BTM,80838476.93,0.08064,1002499275
Qubitica,QBIT,80816057.83,38.75,2085316
Komodo,KMD,79874108.94,0.689,115935145
IOST,IOST,78271363.98,0.006515,12013965609
Bitbook Gambling,BXK,77112309.85,0.2093,368387491
MonaCoin,MONA,74883592.48,1.1393,65729675
Energi,NRG,72729361.93,3.4880,20851281
Verge,XVG,70223858.85,0.004402,15952371639
Flexacoin,FXC,68137765.68,0.00331,20586445749
Beldex,BDX,66518701.60,0.06786,980222595
Ardor,ARDR,65509855.58,0.06558,998999495
Synthetix Network Token,SNX,64883751.14,0.489,132677164
Swipe,SXP,64510972.53,1.0728,60135911
RSK Infrastructure Framework,RIF,62988383.32,0.1289,488688390
Aeternity,AE,62334957.04,0.2194,284154290
Dynamic Trading Rights,DTR,60898214.75,0.03991,1525944416
Nash Exchange,NEX,59353404.71,1.6397,36196678
NEXT,NET,59087266.64,1.1754,50269268
Zilliqa,ZIL,58500067.67,0.006734,8687360058
Golem,GNT,58453458.41,0.06061,964450000
Steem,STEEM,57205776.25,0.1657,345213959
Aurora,AOA,56462637.25,0.00863,6542330148
Nexo,NEXO,56294325.72,0.1005,560000011
Metaverse ETP,ETP,55850826.08,0.729,76613534
OKB,OKB,54753462.68,2.7377,20000000
Wixlar,WIX,53479835.01,0.02236,2391862688
Status,SNT,53123725.18,0.01531,3470483788
Enjin Coin,ENJ,52997213.83,0.06824,776656142
MCO,MCO,52119697.64,3.3000,15793831
BitForex Token,BF,48559394.80,0.01143,4246734273
Beam,BEAM,46294740.04,1.2473,37116880
WINk,WIN,45826575.66,0.0002332,196500113934
Cryptoindex.com 100,CIX100,44986643.21,0.7391,60864742
Zcoin,XZC,44608205.26,5.2935,8426968
aelf,ELF,44418101.59,0.08311,534480100
Electroneum,ETN,42786100.01,0.004356,9821689301
PLATINCOIN,PLC,42511934.18,8.5006,5001073
Waltonchain,WTC,41788824.90,0.9849,42429570
XMax,XMX,41645646.87,0.002475,16824521290
BitCapitalVendor,BCV,41106229.66,0.04714,871999995
Grin,GRIN,41045966.79,1.9054,21541860
ReddCoin,RDD,40597243.52,0.001409,28808713174
Dragon Coins,DRG,39872937.60,0.1144,348655600
Ren,REN,39199587.30,0.04915,797594931
Buggyra Coin Zero,BCZERO,38865944.16,0.01933,2010775988
Elastos,ELA,38673431.84,2.4075,16063887
SOLVE,SOLVE,38459991.58,0.1175,327418008
Crypterium,CRPT,38231598.97,0.4507,84818541
CryptoVerificationCoin,CVCC,37992130.35,65.21,582595
Bankera,BNK,37111233.25,0.001509,24588912108
Japan Content Token,JCT,36130795.93,0.1232,293150782
Stratis,STRAT,35158670.28,0.3534,99496153
STASIS EURO,EURS,35010819.90,1.0948,31979207
Bit-Z Token,BZ,34298555.26,0.2544,134839996
Decentraland,MANA,34255077.30,0.03262,1050141509
Kyber Network,KNC,34225075.42,0.2036,168109727
Ecoreal Estate,ECOREAL,34056817.77,0.1627,209368287
Dent,DENT,33994800.67,0.0004586,74125838994
ETERNAL TOKEN,XET,33895855.02,0.3626,93470000
Veritaseum,VERI,33261624.42,15.47,2149646
Factom,FCT,33202478.75,3.3724,9845393
Newton,NEW,32840495.55,0.002749,11948333332
FTX Token,FTT,32791448.88,1.3117,25000000
Loopring,LRC,32751478.81,0.03631,902044149
BHEX Token,BHT,32327976.45,0.05438,594502550
Orbs,ORBS,31910256.42,0.01695,1882515160
Digitex Futures,DGTX,31903347.22,0.04196,760382920
GXChain,GXC,31393140.77,0.483,65000000
Nebulas,NAS,31380353.32,0.6453,48627715
Project Pai,PAI,31319631.80,0.02153,1454681880
Civic,CVC,31267774.38,0.04667,670000000
NULS,NULS,30813141.97,0.4177,73770500
Vitae,VITAE,30468636.39,1.6824,18109968
WAX,WAXP,30465162.97,0.03639,837205646
Atlas Protocol,ATP,30424011.62,0.01181,2576065703
BQT,BQTX,30355219.15,0.08153,372313985
FNB Protocol,FNB,30330997.45,0.1114,272287707
Horizen,ZEN,29990571.81,4.0608,7385350
Fetch.ai,FET,29844936.31,0.05336,559337051
WaykiChain,WICC,29451760.96,0.1558,189000000
Function X,FX,29331267.97,0.2822,103945455
DigixDAO,DGD,29043306.66,14.52,2000000
Enigma,ENG,28637019.37,0.3827,74836171
Revain,R,28467755.17,0.05876,484450000
USDK,USDK,28362278.07,0.9917,28600072
Santiment Network Token,SAN,28262237.32,0.451,62660371
QASH,QASH,27717390.15,0.07919,350000000
Matic Network,MATIC,27530957.46,0.01256,2192190362
Wanchain,WAN,27325258.14,0.2574,106152493
Aragon,ANT,27159569.07,0.9145,29700256
AgaveCoin,AGVC,27159181.75,0.06953,390619593
Aion,AION,27032343.88,0.07835,345027193
BitcoinHD,BHD,26839623.83,13.56,1978710
Fantom,FTM,26649219.27,0.01469,1813658595
1irstcoin,FST,26516950.41,1.2007,22085000
LATOKEN,LA,25824554.99,0.06794,380104462
General Attention Currency,XAC,25739413.33,2.5739,10000000
ODEM,ODE,25715610.56,0.1117,230308098
Ark,ARK,25567606.61,0.2254,113443488
VestChain,VEST,25199094.23,0.00356,7078400000
Bancor,BNT,25106975.57,0.403,62302873
FABRK,FAB,25046283.54,0.005237,4782583640
Litex,LXT,24332181.61,0.02535,959999987
Aladdin,ADN,24299714.77,0.0007667,31691810939
TrueChain,TRUE,24027219.87,0.3019,79575543
BHPCoin,BHP,23964150.93,1.2950,18505523
TomoChain,TOMO,23844118.75,0.3685,64697775
botXcoin,BOTX,23663570.20,0.0145,1631733770
GreenPower,GRN,23356702.25,0.007227,3231699360
Ignis,IGNIS,23220331.70,0.03051,761143950
LINA,LINA,22937916.52,0.08556,268095682
Molecular Future,MOF,22795658.18,0.6979,32661386
Loom Network,LOOM,22725633.53,0.02344,969599860
Power Ledger,POWR,22715888.43,0.05438,417690296
Safe,SAFE,22492841.25,1.0795,20835499
FunFair,FUN,22387210.36,0.003418,6548879189
PRIZM,PZM,22084588.72,0.4206,52502900
Seele,SEELE,21931275.20,0.03155,695055692
DAPS Coin,DAPS,21561287.80,0.00041,52586828002
Hyperion,HYN,21177416.33,0.06686,316765917
Storj,STORJ,21174210.28,0.1559,135787439
Bibox Token,BIX,21142625.65,0.195,108417395
Eidoo,EDO,20989905.25,0.396,53001501
Valor Token,VALOR,20861911.12,1.0412,20036000
Fusion,FSN,20714209.86,0.604,34294807
Populous,PPT,20585741.36,0.3866,53252246
Chiliz,CHZ,20480139.33,0.00579,3536995515
MOAC,MOAC,20420487.48,0.3269,62463334
Bread,BRD,20113994.19,0.2267,88733978
BTU Protocol,BTU,20110261.90,0.2872,70010314
DxChain Token,DX,19779672.88,0.0004277,46250000000
TenX,PAY,19611211.03,0.1662,118000041
Telcoin,TEL,19238696.41,0.0005037,38194744221
Tierion,TNT,19148892.44,0.04469,428481269
Arcblock,ABT,19068319.05,0.1935,98554305
MicroBitcoin,MBC,18822393.27,0.0001003,187672037500
Ultiledger,ULT,18804795.13,0.02935,640754862
